,forecast_date,forecast_sales
0,2081-11-01,1151653221.6515956
1,2081-12-01,1241757658.7543218
2,2082-01-01,1782385514.8297076
3,2082-02-01,1778089645.1841455
4,2082-03-01,606540970.1396792
5,2082-04-01,480692563.70077586
