forecast_date,forecast_sales
2081-12-01,1282727142.6472187
2082-01-01,1769326739.1561732
2082-02-01,1731805137.0203855
2082-03-01,664476356.9705783
2082-04-01,546505177.7307428
2082-05-01,973400956.4066192
